Time,Acc_X,Acc_Y,Acc_Z
0.000000000000000000e+00,8.385212052535992555e+00,1.595599482830493798e+00,9.099140124271357877e+00
1.000000000000000021e-03,7.979409770592821971e+00,1.102268560970667721e+00,8.361768684410471053e+00
2.000000000000000042e-03,7.282667133604323162e+00,4.255511378789622046e-01,7.609200404232079329e+00
3.000000000000000062e-03,7.312280417970959512e+00,3.987210369808598664e-01,7.466834176006811319e+00
4.000000000000000083e-03,7.103749515871799147e+00,1.779949333098305997e-01,7.197137154700839368e+00
5.000000000000000104e-03,6.966692127918526545e+00,4.550042241567982954e-02,7.045973535734382232e+00
6.000000000000000125e-03,7.164125574379427874e+00,1.847882289780977128e-01,7.112107140241853642e+00
7.000000000000000146e-03,7.088304288109737783e+00,1.055885898803566592e-01,7.019518045543111207e+00
8.000000000000000167e-03,7.041780229307310179e+00,6.377876151481710887e-02,6.975453125027574863e+00
9.000000000000001055e-03,7.101618395524941896e+00,9.806066863482310048e-02,6.979066016716302556e+00
1.000000000000000021e-02,6.937752635236342336e+00,-3.352328911735742711e-02,6.873151177135327750e+00
1.099999999999999936e-02,6.780168869679376265e+00,-1.656490551054677074e-01,6.764251705786898938e+00
1.200000000000000025e-02,6.867910095774427681e+00,-9.469231483469900401e-02,6.816225372961516094e+00
1.300000000000000114e-02,6.832103993029679856e+00,-1.079466086292174831e-01,6.823359841467796727e+00
1.400000000000000029e-02,6.743088547839037439e+00,-2.004178587273049428e-01,6.725307687415599922e+00
1.499999999999999944e-02,7.013119842966148099e+00,2.526235235200235268e-02,6.904552050277342978e+00
1.600000000000000033e-02,6.700760384209049292e+00,-2.488769195946006763e-01,6.666590899722954155e+00
1.700000000000000122e-02,7.092651849636683714e+00,8.163691962320475393e-02,6.933730082879157486e+00
1.800000000000000211e-02,7.201785376947827721e+00,1.785763744719397195e-01,7.016525777114405393e+00
1.899999999999999953e-02,6.614814505197382566e+00,-3.325152741062944450e-01,6.579413277133914661e+00
2.000000000000000042e-02,6.882229032050815043e+00,-1.023347023734560157e-01,6.770511666837461640e+00
2.100000000000000130e-02,6.753415305796538703e+00,-2.017007317758882645e-01,6.698799147871793203e+00
2.199999999999999872e-02,6.622993586904623697e+00,-3.097434919287227473e-01,6.611397348687392039e+00
2.299999999999999961e-02,6.696765653735114121e+00,-2.629360078989304572e-01,6.629560540911930033e+00
2.400000000000000050e-02,6.704769028640670925e+00,-2.480864762841291649e-01,6.649636857806162205e+00
2.500000000000000139e-02,6.866515278301140057e+00,-1.157198636822470983e-01,6.751066793779031627e+00
2.600000000000000228e-02,7.056872655816404993e+00,3.486272344192878347e-02,6.860381819427972871e+00
2.699999999999999969e-02,6.975179589748735864e+00,-2.434393477014200335e-02,6.822234942390613455e+00
2.800000000000000058e-02,6.969441912689977592e+00,-3.801174052088585054e-02,6.799278337910948267e+00
2.900000000000000147e-02,6.974876506618375771e+00,-2.987181233890578991e-02,6.808834632641384665e+00
2.999999999999999889e-02,6.778513049324241813e+00,-1.817964520962796482e-01,6.700131221399697523e+00
3.099999999999999978e-02,6.686369070567661055e+00,-2.755133201356705919e-01,6.603696858071864462e+00
3.200000000000000067e-02,6.608465765756617927e+00,-3.409489818307003262e-01,6.549658746229122031e+00
3.300000000000000155e-02,6.784274012969449430e+00,-1.787966282044103905e-01,6.697161078389173738e+00
3.400000000000000244e-02,6.963892625532725589e+00,-4.574435731734014660e-02,6.782730218290677904e+00
3.500000000000000333e-02,6.859325937876794121e+00,-1.378971314240526880e-01,6.702153198464272599e+00
3.600000000000000422e-02,6.838810307564699542e+00,-1.606376573356538828e-01,6.676429455332306695e+00
3.699999999999999817e-02,7.009123064945600667e+00,-2.216912853137081862e-02,6.782376393302808282e+00
3.799999999999999906e-02,6.842245965156754650e+00,-1.481718597321382003e-01,6.696652661710353449e+00
3.899999999999999994e-02,6.808880206323858708e+00,-1.742710076655132334e-01,6.677307693297806601e+00
4.000000000000000083e-02,6.892260035836758725e+00,-9.794341797188350907e-02,6.746154402464255462e+00
4.100000000000000172e-02,6.709355810044239199e+00,-2.394839341639351527e-01,6.645633506113517441e+00
4.200000000000000261e-02,6.647556060809121092e+00,-3.103571065258769468e-01,6.565428037890893798e+00
4.300000000000000350e-02,6.763928929516417554e+00,-2.128464809057812601e-01,6.643903335310386460e+00
4.399999999999999745e-02,6.798198256133298756e+00,-1.776250478480790318e-01,6.679990051281120778e+00
4.499999999999999833e-02,6.971086561628338174e+00,-4.760509878457474392e-02,6.767141458290113043e+00
4.599999999999999922e-02,7.104482312863532378e+00,7.838475344529846622e-02,6.885812141587697610e+00
4.700000000000000011e-02,6.702069737104339175e+00,-2.731591017047670933e-01,6.585310831331887549e+00
4.800000000000000100e-02,7.061995545308906941e+00,4.193482034447031104e-02,6.855833864352716134e+00
4.900000000000000189e-02,6.995379761112105577e+00,6.494847307991380436e-03,6.851917850713856950e+00
5.000000000000000278e-02,6.733191755275537815e+00,-2.252042268464859165e-01,6.651142885158966678e+00
5.100000000000000366e-02,6.790985118072453197e+00,-1.856835964518942783e-01,6.672912765419851233e+00
5.200000000000000455e-02,6.717763658803656668e+00,-2.396473441777588476e-01,6.638815192566228873e+00
5.299999999999999850e-02,7.045395239859784553e+00,3.514000274738690588e-02,6.861452824573982312e+00
5.399999999999999939e-02,7.168781994988688844e+00,1.318731348628975064e-01,6.932312382924632921e+00
5.500000000000000028e-02,7.111687553707659148e+00,9.236081972933339601e-02,6.911247147050286976e+00
5.600000000000000117e-02,7.281413059846470581e+00,2.312497630292120743e-01,7.020248658479633974e+00
5.700000000000000205e-02,7.044854707606551969e+00,3.099980692644063035e-02,6.857339582121556809e+00
5.800000000000000294e-02,6.889397058447694455e+00,-8.564995837432980152e-02,6.780612613256565169e+00
5.900000000000000383e-02,6.906361949293336799e+00,-7.740140269317739852e-02,6.781341154094424617e+00
5.999999999999999778e-02,6.753419901471275466e+00,-1.970868342890420566e-01,6.696188949032224613e+00
6.099999999999999867e-02,6.696337230810966545e+00,-2.460071303128714137e-01,6.656786714809521222e+00
6.199999999999999956e-02,6.984318819380438192e+00,-8.555959767516200035e-03,6.845140924140414640e+00
6.300000000000000044e-02,6.769611201678617185e+00,-1.929128553248805611e-01,6.692644577303920705e+00
6.400000000000000133e-02,7.188155277114878672e+00,1.721666748967800309e-01,7.005844267653063895e+00
6.500000000000000222e-02,7.303524500107981154e+00,2.662507862902315225e-01,7.080301271098024429e+00
6.600000000000000311e-02,6.895245436686590956e+00,-7.728096569217325629e-02,6.803246464391913939e+00
6.700000000000000400e-02,6.799325257644198039e+00,-1.666300067751174119e-01,6.722268071411202861e+00
6.800000000000000488e-02,6.899241574594680237e+00,-6.698181053458027168e-02,6.823515695777160772e+00
6.900000000000000577e-02,6.766609994879360102e+00,-1.645591886247244062e-01,6.762926187634837660e+00
7.000000000000000666e-02,6.966771947006421328e+00,-6.549026752408690366e-04,6.892570596670336336e+00
7.100000000000000755e-02,6.823433172893094145e+00,-1.263768786827086932e-01,6.786525253445983452e+00
7.200000000000000844e-02,6.803053625153329342e+00,-1.444870050960585517e-01,6.772804278407501322e+00
7.299999999999999545e-02,7.208702802647454000e+00,1.964929996694871617e-01,7.051292513874787282e+00
7.399999999999999634e-02,7.200024592051494032e+00,2.011541920411831219e-01,7.071525894757724195e+00
7.499999999999999722e-02,7.196294821091959726e+00,2.007559740873582632e-01,7.076745039682037941e+00
7.599999999999999811e-02,7.435488117226084270e+00,4.117679295730132250e-01,7.261912067276023564e+00
7.699999999999999900e-02,6.998972114997958016e+00,4.779287900160332503e-02,6.972862501842430838e+00
7.799999999999999989e-02,6.997071777066450338e+00,4.560913018884637377e-02,6.972825456507532493e+00
7.900000000000000078e-02,7.058306434369515436e+00,9.899417880398581060e-02,7.020833997249814828e+00
8.000000000000000167e-02,6.763489151763722340e+00,-1.508606210258875147e-01,6.818455121656719520e+00
8.100000000000000255e-02,7.721481791587094357e+00,8.773970885147309717e-01,8.153182074711764926e+00
8.200000000000000344e-02,7.659829872532793793e+00,7.460188436798901312e-01,7.862728174780190038e+00
8.300000000000000433e-02,7.562286073708940570e+00,6.236409176885102656e-01,7.662372651996517625e+00
8.400000000000000522e-02,7.542162240773566673e+00,5.642404313053743792e-01,7.532521829735394192e+00
8.500000000000000611e-02,7.210612247016901399e+00,2.697638360871871255e-01,7.257278980107549238e+00
8.600000000000000699e-02,7.103057343130250167e+00,1.787059421329464937e-01,7.172973467539297765e+00
8.700000000000000788e-02,7.306567135871972596e+00,3.500976446350038129e-01,7.307418696650595180e+00
8.799999999999999489e-02,6.988517740472053319e+00,8.226274517719252277e-02,7.087956959573207705e+00
8.899999999999999578e-02,7.056560915076531160e+00,1.353995554856576855e-01,7.126161830724212720e+00
8.999999999999999667e-02,7.114086035634092475e+00,1.694680931361252640e-01,7.137852366863048914e+00
9.099999999999999756e-02,7.172581384464951526e+00,2.302505619122066083e-01,7.201097561190016094e+00
9.199999999999999845e-02,7.609083650437495905e+00,6.052327235282416451e-01,7.517336705086307802e+00
9.299999999999999933e-02,7.646343958267300067e+00,6.375513787203981320e-01,7.547493627483405021e+00
9.400000000000000022e-02,7.367433558798466287e+00,4.092035152928962805e-01,7.372488055528879869e+00
9.500000000000000111e-02,7.356109678355120529e+00,3.942463281817991660e-01,7.356674157850129347e+00
9.600000000000000200e-02,7.158428462144541093e+00,2.367115879601137951e-01,7.242056341971220057e+00
9.700000000000000289e-02,6.984597342458476632e+00,9.890558365090343362e-02,7.143036775545296813e+00
9.800000000000000377e-02,7.024137012258035995e+00,1.204481387577179818e-01,7.149331448630754871e+00
9.900000000000000466e-02,7.202953458448748236e+00,2.923121856547356012e-01,7.316977292984344849e+00
1.000000000000000056e-01,7.268806531171886576e+00,3.440193275975908516e-01,7.357254740562000350e+00
1.010000000000000064e-01,7.574693133534015743e+00,5.976677042053268885e-01,7.561360268501241322e+00
1.020000000000000073e-01,7.476626015612867882e+00,5.232868663066537751e-01,7.513337358528328735e+00
1.030000000000000082e-01,7.538433738113750060e+00,5.725707791969146809e-01,7.552742543503752515e+00
1.040000000000000091e-01,7.461351257167800455e+00,5.047344162752864793e-01,7.496768013548749110e+00
1.049999999999999961e-01,7.369955593480251643e+00,4.510154395816651229e-01,7.483309311578682177e+00
1.059999999999999970e-01,7.300105704755291747e+00,3.831828179814865121e-01,7.420042700808267888e+00
1.069999999999999979e-01,7.364421751811070394e+00,4.487301576232956002e-01,7.489332563059880599e+00
1.079999999999999988e-01,7.040821275405127366e+00,1.694215410855824389e-01,7.256786903682892031e+00
1.089999999999999997e-01,7.337827673652663307e+00,4.131102085784409406e-01,7.449586239927946885e+00
1.100000000000000006e-01,7.449876461895748037e+00,5.171282265081456053e-01,7.547956681529594647e+00
1.110000000000000014e-01,7.438903895483797157e+00,5.071891812413605871e-01,7.541386698705665026e+00
1.120000000000000023e-01,7.734585377886143753e+00,7.571841513756246700e-01,7.747980661761328491e+00
1.130000000000000032e-01,7.396036090919459127e+00,4.749404737475368954e-01,7.524275745973441509e+00
1.140000000000000041e-01,7.365562113535912836e+00,4.535873945481238012e-01,7.514222118043893950e+00
1.150000000000000050e-01,7.582350146205133257e+00,6.480943958308095221e-01,7.688569867655505874e+00
1.160000000000000059e-01,7.213623019786251866e+00,3.412407704600374236e-01,7.445652651326161831e+00
1.170000000000000068e-01,7.560825485824715919e+00,6.429721969647524960e-01,7.703915054550947161e+00
1.180000000000000077e-01,7.458409126500695763e+00,5.437600040995232975e-01,7.609846213607157850e+00
1.190000000000000085e-01,7.402207030344870375e+00,5.017839536034252035e-01,7.583970707882897955e+00
1.199999999999999956e-01,7.730806541668981957e+00,7.746192744849652589e-01,7.802849881434858581e+00
1.209999999999999964e-01,7.655587447627878461e+00,7.115020120280486360e-01,7.753574356245066745e+00
1.219999999999999973e-01,7.654088897266521307e+00,7.240027211343780245e-01,7.781744502050571555e+00
1.229999999999999982e-01,7.653526215032915303e+00,7.148790382057587101e-01,7.765658768668886047e+00
1.239999999999999991e-01,7.355045599483689855e+00,4.703907235766763839e-01,7.576689074110115385e+00
1.250000000000000000e-01,7.306933253375656356e+00,4.360517774106039690e-01,7.557575908106507256e+00
1.260000000000000009e-01,7.592833626231554334e+00,6.813502808146030265e-01,7.763649773477617089e+00
1.270000000000000018e-01,7.479345932251895590e+00,5.928897723117790841e-01,7.701517422735786766e+00
1.280000000000000027e-01,7.566576085215657166e+00,6.552541452832978397e-01,7.740239719510287664e+00
1.290000000000000036e-01,7.798915947404319482e+00,8.480079512550551257e-01,7.894552997503691216e+00
1.300000000000000044e-01,7.716517599130716221e+00,7.861380298715376913e-01,7.854278052082155348e+00
1.310000000000000053e-01,7.667319496293094616e+00,7.281531208696858659e-01,7.788493207703091059e+00
1.320000000000000062e-01,7.690443389575588817e+00,7.572466836515308053e-01,7.824463038754938538e+00
1.330000000000000071e-01,7.508479614043544359e+00,6.172370718712872906e-01,7.727233429890564942e+00
1.340000000000000080e-01,7.548755037802544976e+00,6.454244898283505449e-01,7.744077540767064782e+00
1.350000000000000089e-01,7.531754071090860592e+00,6.450487588103577252e-01,7.760990330109511781e+00
1.360000000000000098e-01,7.262102612025687520e+00,4.067826303574059166e-01,7.554691236819633282e+00
